Country & Variable (Combined),Country,M49,Variables,Variable,Units,Symbol,Symbol Description,Units,Symbol,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Myanmar, National Rainfall Index (NRI)",Myanmar,104,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,"2,670.38","2,689.75","2,709.13","2,728.50","2,747.88","2,767.25","2,786.63",,"2,765.80","2,725.60","2,685.40","2,645.20",,"2,575.17","2,545.33","2,515.50","2,485.67","2,455.83",,"2,337.40","2,248.80","2,160.20","2,071.60",,"2,210.00","2,437.00",,"2,657.80","2,651.60","2,645.40","2,639.20",,"2,572.20","2,511.40","2,450.60","2,389.80",,"2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00","2,329.00",
"Myanmar, National Rainfall Index (NRI)",Myanmar,104,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,"2,651.00",,,,,,,,"2,806.00",,,,,"2,605.00",,,,,,"2,426.00",,,,,"1,983.00",,,"2,664.00",,,,,"2,633.00",,,,,"2,329.00",,,,,,,,,,,,,,,,,,,,
"Philippines, National Rainfall Index (NRI)",Philippines,608,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,,,"2,440.43","2,443.86","2,447.29","2,450.71","2,454.14","2,457.57",,"2,488.40","2,515.80","2,543.20","2,570.60",,"2,484.25","2,370.50","2,256.75",,"2,201.50","2,260.00","2,318.50",,"2,353.40","2,329.80","2,306.20","2,282.60",,"2,207.25","2,155.50","2,103.75",,"2,136.00","2,220.00","2,304.00","2,388.00","2,472.00","2,556.00",,"2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00","2,640.00",
"Philippines, National Rainfall Index (NRI)",Philippines,608,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,,,"2,437.00",,,,,,,"2,461.00",,,,,"2,598.00",,,,"2,143.00",,,,"2,377.00",,,,,"2,259.00",,,,"2,052.00",,,,,,,"2,640.00",,,,,,,,,,,,,,,,,,,
"Thailand, National Rainfall Index (NRI)",Thailand,764,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,,,"1,681.67","1,682.33","1,683.00","1,683.67","1,684.33",,"1,684.00",,"1,669.88","1,656.75","1,643.63","1,630.50","1,617.38","1,604.25","1,591.13",,"1,568.00","1,558.00",,"1,535.43","1,522.86","1,510.29","1,497.71","1,485.14","1,472.57",,"1,516.75","1,573.50","1,630.25",,"1,693.17","1,699.33","1,705.50","1,711.67","1,717.83",,"1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00","1,724.00",
"Thailand, National Rainfall Index (NRI)",Thailand,764,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,,,"1,681.00",,,,,,"1,685.00",,"1,683.00",,,,,,,,"1,578.00",,,"1,548.00",,,,,,,"1,460.00",,,,"1,687.00",,,,,,"1,724.00",,,,,,,,,,,,,,,,,,,
"United States of America, National Rainfall Index (NRI)",United States of America,840,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,,,934.43,940.35,946.28,,963.36,974.52,985.68,996.84,,999.6,991.2,982.8,974.4,966,957.6,,957.67,966.13,,980.28,985.95,991.63,997.3,"1,002.98","1,008.65","1,014.33",,"1,016.25","1,012.50","1,008.75",,993.95,982.9,971.85,960.8,949.75,,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,938.7,
"United States of America, National Rainfall Index (NRI)",United States of America,840,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,,,928.5,,,,952.2,,,,,"1,008.00",,,,,,,949.2,,,974.6,,,,,,,,"1,020.00",,,,"1,005.00",,,,,,938.7,,,,,,,,,,,,,,,,,,
"Viet Nam, National Rainfall Index (NRI)",Viet Nam,704,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",mm/year,I  ,,,,,,,"1,756.40","1,739.80","1,723.20","1,706.60",,"1,669.17","1,648.33","1,627.50","1,606.67","1,585.83",,"1,592.17","1,619.33","1,646.50","1,673.67","1,700.83",,"1,704.33","1,680.67",,"1,643.20","1,629.40","1,615.60","1,601.80",,"1,606.11","1,624.22","1,642.33","1,660.44","1,678.56","1,696.67","1,714.78","1,732.89",,"1,811.00","1,871.00","1,931.00",,"1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00","1,991.00",
"Viet Nam, National Rainfall Index (NRI)",Viet Nam,704,National Rainfall Index (NRI),National Rainfall Index (NRI) (mm/year),mm/year,X  ,External value (reported by FAOSTAT or another international agency),mm/year,X  ,,,,,,"1,773.00",,,,,"1,690.00",,,,,,"1,565.00",,,,,,"1,728.00",,,"1,657.00",,,,,"1,588.00",,,,,,,,,"1,751.00",,,,"1,991.00",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
